Segment ID,Child ID,Classification
1,001,1
2,001,1
3,001,1
4,001,1
5,001,1
6,001,1
7,001,1
8,001,1
9,001,1
10,001,1
11,001,1
12,001,1
13,001,1
14,001,1
15,001,1
16,001,1
17,001,1
18,001,1
19,001,1
20,001,1
21,001,1
22,001,1
23,001,1
24,001,1
25,001,1
26,001,1
27,001,1
28,001,1
29,001,1
30,001,1
31,001,1
32,001,1
33,001,1
34,001,1
35,001,1
36,001,1
37,001,1
38,001,1
39,001,1
40,001,1
41,001,1
42,001,1
43,001,1
44,001,1
45,001,1
46,001,1
47,001,1
48,001,1
49,001,1
50,001,1
51,001,1
52,001,1
53,001,1
54,001,1
55,001,1
56,001,1
57,001,1
58,001,1
59,001,1
60,001,1
61,001,1
62,001,1
63,001,1
64,001,1
65,001,1
66,001,1
67,001,1
68,001,1
69,001,1
70,001,1
71,001,1
72,001,1
73,001,1
74,001,1
75,001,1
76,001,1
77,001,1
78,001,1
79,001,1
80,001,1
81,001,1
82,001,1
83,001,1
84,001,1
85,001,1
86,001,1
87,001,1
88,001,1
89,001,1
90,001,1
91,001,1
92,001,1
93,001,1
94,001,1
95,001,1
96,001,1
97,001,1
98,001,1
99,001,1
100,001,1
101,001,1
102,001,1
103,001,1
104,001,1
105,001,1
106,001,1
107,001,1
108,001,1
109,001,1
110,001,1
111,001,1
112,001,1
113,001,1
114,001,1
115,001,1
116,001,1
117,001,1
118,001,1
119,001,1
120,001,1
121,001,1
122,001,1
123,001,1
124,001,1
125,001,1
126,001,1
127,001,1
128,001,1
129,001,1
130,001,1
131,001,1
132,001,1
133,001,1
134,001,1
135,001,1
136,001,1
137,001,1
138,001,1
139,001,1
140,001,1
141,001,1
142,001,1
143,001,1
144,001,1
145,001,1
146,001,1
147,001,1
148,001,1
149,001,1
150,001,1
151,001,1
152,001,1
153,001,1
154,001,1
155,001,1
156,001,1
157,001,1
158,001,1
159,001,1
160,001,1
161,001,1
162,001,1
163,001,1
164,001,1
165,001,1
166,001,1
167,001,1
168,001,1
169,001,1
170,001,1
171,001,1
172,001,1
173,001,1
174,001,1
175,001,1
176,001,1
177,001,1
178,001,1
179,001,1
180,001,1
181,001,1
182,001,1
183,001,1
184,001,1
185,001,1
186,001,1
187,001,1
188,001,1
189,001,1
190,001,1
191,001,1
192,001,1
193,001,1
194,001,1
195,001,1
196,001,1
197,001,1
198,001,1
199,001,1
200,001,1
201,001,1
202,001,1
203,001,1
204,001,1
205,001,1
206,001,1
207,001,1
208,001,1
209,001,1
210,001,1
211,001,1
212,001,1
213,001,1
214,001,1
215,001,1
216,001,1
217,001,1
218,001,1
219,001,1
220,001,1
221,001,1
222,001,1
223,001,1
224,001,1
225,001,1
226,001,1
227,001,1
228,001,1
229,001,1
230,001,1
231,001,1
232,001,1
233,001,1
234,001,1
235,001,1
236,001,1
237,001,1
238,001,1
239,001,1
240,001,1
241,001,1
242,001,1
243,001,1
244,001,1
245,001,1
246,001,1
247,001,1
248,001,1
249,001,1
250,001,1
251,001,1
252,001,1
253,001,1
254,001,1
255,001,1
256,001,1
257,001,1
258,001,1
259,001,1
260,001,1
261,001,1
262,001,1
263,001,1
264,001,1
265,001,1
266,001,1
267,001,1
268,001,1
269,001,1
270,001,1
271,001,1
272,001,1
273,001,1
274,001,1
275,001,1
276,001,1
277,001,1
278,001,1
279,001,1
280,001,1
281,001,1
282,001,1
283,001,1
284,001,1
285,001,1
286,001,1
287,001,1
288,001,1
289,001,1
290,001,1
291,001,1
292,001,1
293,001,1
294,001,1
295,001,1
296,001,1
297,001,1
298,001,1
299,001,1
300,001,1
301,001,1
302,001,1
303,001,1
304,001,1
305,001,1
306,001,1
307,001,1
308,001,1
309,001,1
310,001,1
311,001,1
312,001,1
313,001,1
314,001,1
315,001,1
316,001,1
317,001,1
318,001,1
319,001,1
320,001,1
321,001,1
322,001,1
323,001,1
324,001,1
325,001,1
326,001,1
327,001,1
328,001,1
329,001,1
330,001,1
331,001,1
332,001,1
333,001,1
334,001,1
335,001,1
336,001,1
337,001,1
338,001,1
339,001,1
340,001,1
341,001,1
342,001,1
343,001,1
344,001,1
345,001,1
346,001,1
347,001,1
348,001,1
349,001,1
350,001,1
351,001,1
352,001,1
353,001,1
354,001,1
355,001,1
356,001,1
357,001,1
358,001,1
359,001,1
360,001,1
361,001,1
362,001,1
363,001,1
364,001,1
365,001,1
366,001,1
367,001,1
368,001,1
369,001,1
370,001,1
371,001,1
372,001,1
373,001,1
374,001,1
375,001,1
376,001,1
377,001,1
378,001,1
379,001,1
380,001,1
381,001,1
382,001,1
383,001,1
384,001,1
385,001,1
386,001,1
387,001,1
388,001,1
389,002,1
390,002,1
391,002,1
392,002,1
393,002,1
394,002,1
395,002,1
396,002,1
397,002,1
398,002,1
399,002,1
400,002,1
401,002,1
402,002,1
403,002,1
404,002,1
405,002,1
406,002,1
407,002,1
408,002,1
409,002,1
410,002,1
411,002,1
412,002,1
413,002,1
414,002,1
415,002,1
416,002,1
417,002,1
418,002,1
419,002,1
420,002,1
421,002,1
422,002,1
423,002,1
424,002,1
425,002,1
426,002,1
427,002,1
428,002,1
429,002,1
430,002,1
431,002,1
432,002,1
433,002,1
